date_range,current_date,description,compatibility,mood,color,lucky_number,lucky_time,sign
Jun 22 - Jul 22,"July 15, 2022","You've been running around for days, especially at work. You were just about ready to go hibernate, but then you realized that it's time to have fun. Get your party clothes out!",Gemini,Energetic,Pink,95,12am,cancer
Oct 23 - Nov 22,"July 15, 2022","Ready to get your groove on? Bet you are. You won't have any trouble finding someone to join you, either. If a big celebration is in order, pull out all the stops and plan it. Party at your place!",Leo,Fun,Silver,15,2am,scorpio
Feb 19 - Mar 20,"July 15, 2022",A surprise communication from a far-off place will get your day off to an 'interesting' start. That may mean that you're ready for more than just a different lunch companion.,Taurus,Fun,Brown,16,11pm,pisces
Mar 21 - Apr 20,"July 16, 2022","Your imagination is running on high. In fact, you've just about had it with speculating. So why not just buckle down and ask for answers to the questions that are making you crazy?",Gemini,Truthful,Red,38,4am,aries
Jul 23 - Aug 22,"July 16, 2022","Secrets, secretive people and things you swore you'd never talk about -- that's what's on the agenda for the next few days. Will you mind? Not at all. Will they? Only if you give up the goods without their knowledge.",Pisces,Honest,Orchid,97,9pm,leo
Nov 23 - Dec 21,"July 16, 2022","Hopefully, you weren't expecting to relax, kick back and take it easy, because that's not likely. Don't worry, though -- you're due to rally and to spend some time with long-distance folks of the most interesting variety.",Pisces,Stressed,Pink,95,12am,sagittarius
Apr 21 - May 20,"July 16, 2022","Stop worrying about the bills and let loose just a little. You don't have to go overboard or run up a huge tab, but you can treat yourself and a partner to a burger and a movie.",Aquarius,Relieved,Orchid,84,10am,taurus
Aug 23 - Sep 22,"July 16, 2022","Time for passion and intimacy -- oh, and maybe just a touch of excess when it comes to money matters. Sure, you're feeling extravagant -- more so than usual, even. But there are lots of ways to go overboard. Choose wisely.",Aquarius,Hopeful,Brown,43,10pm,virgo
Dec 22 - Jan 19,"July 16, 2022","You'll have all the energy you need to make changes, find answers and do any other darned thing you want to do. All you need to do is want it. Think about what you really want, then aim and fire.",Aquarius,Aggressive,Red,43,8pm,capricorn
May 21 - Jun 21,"July 16, 2022","You'll have energy to burn, especially when it comes to helping out a family member who's not exactly on top of the world at the moment. As you've always known, a little tenderness goes a long way. Dole it out.",Leo,Generous,Teal,13,7am,gemini
Sep 23 - Oct 22,"July 16, 2022","A dear one will be along shortly to ask for your advice, and they'll want it straight from the heart. So your first priority is complete honesty, no matter how worried you are that it might hurt. Say it gently.",Pisces,Sincere,Copper,74,5pm,libra
Jan 20 - Feb 18,"July 16, 2022","Okay -- one more day of floating around on cloud nine, but then you've got to promise to at least start walking around down here on the ground, just like everybody else.",Capricorn,Relaxed,Orchid,37,9pm,aquarius
Jun 22 - Jul 22,"July 16, 2022","It's time to listen to your body and slow down just a tad. Relaxing at your place with some interesting, funny friends wouldn't be a bad option, rather than going out and painting the town red.",Virgo,Fun,Orchid,54,6pm,cancer
Oct 23 - Nov 22,"July 16, 2022","You're in the mood to chat at length and tell the world what you really think. Easy, there. Just be sure your audience is receptive before you start sharing your opinions.",Libra,Talkative,Silver,88,10pm,scorpio
Feb 19 - Mar 20,"July 16, 2022","A friend will connect you with someone who'll expand your horizons, whether they mean to or not. This could be your chance to meet a mentor, or even a guide. Pay attention!",Gemini,Lucky,Yellow,68,1am,pisces
Mar 21 - Apr 20,"July 17, 2022","If ever there was a time for you to wear your heart on your sleeve with no apologies offered, this is it. You're not in the mood for niceties, and you don't want to temper your rhetoric. You've had it. Go on. Go off.",Cancer,Confidence,Navy Blue,48,5pm,aries
Jul 23 - Aug 22,"July 17, 2022","Starting to feel like it's time to take a certain issue seriously? It's no wonder, with the astrological influences currently working on you. At the very least, you'll tell someone something you swore you'd never share.",Capricorn,Serious,Pink,59,6pm,leo
Nov 23 - Dec 21,"July 17, 2022","Relationships are the most confusing thing on the planet, aren't they? You'll probably be explaining that to a dear one who's asking for advice. Better make some coffee if you're attempting to explain why.",Capricorn,Patient,Orchid,22,3pm,sagittarius
Apr 21 - May 20,"July 17, 2022","Get ready for some surprisingly good news. After worrying about one particular problem, you're absolutely tickled to hear something positive. Forget the problem. Enjoy the moment.",Libra,Happy,Teal,48,11pm,taurus
Aug 23 - Sep 22,"July 17, 2022","There's just no way to stop you, is there? You're totally out of control -- and probably totally in love, too. Before you rush off to Vegas, make sure you won't be disappointed if they slip off that pedestal.",Pisces,Cautious,Gold,95,11pm,virgo
Dec 22 - Jan 19,"July 17, 2022","If it's something you've been dying to have in your home, you won't be able to resist buying it no matter how much it costs. Let's think about this for a bit -- isn't there a big difference between want and need?",Leo,Demanding,Copper,3,1am,capricorn
May 21 - Jun 21,"July 17, 2022","Romance is at the top of your priority list, and well it should be. You'll be a charm-filled magnet. Just be sure to direct this stuff wisely. It will be much easier to turn on than to turn off.",Scorpio,Cautious,Shadow Black,86,3am,gemini
Sep 23 - Oct 22,"July 17, 2022","Home, family and friends will be first and foremost on your mind. Why not invite your nearest and dearest over, and offer up one of those fabulous feasts you're so good at whipping up?",Virgo,Joyful,Shadow Black,44,2am,libra
Jan 20 - Feb 18,"July 17, 2022","Busy? Oh, yes. You won't be able to stop moving, not for one minute. Just don't get so wrapped up in your chores and errands that you tire yourself out. No fair going to bed early tonight.",Gemini,Tired,Navy Blue,50,2pm,aquarius
Jun 22 - Jul 22,"July 17, 2022","You've got a busy week ahead, thanks to a visitor, a brand-new friend or a sudden urge to educate yourself. Regardless of how it happens, the fun starts tomorrow. How about one more stress-free night at your place?",Scorpio,Relaxed,Teal,71,12am,cancer
Oct 23 - Nov 22,"July 17, 2022","You woke up this morning and realized that it's just about time to get back to work. Guess it's time to stop playing and start getting those chores done. But if you start early, you'll still have tonight.",Sagittarius,Diligent,Navy Blue,46,11am,scorpio
Feb 19 - Mar 20,"July 17, 2022","You've always felt like your coworkers are extended family members. So when one of them comes to you asking for advice or counsel, don't refuse. Just be careful not to become overly involved in what doesn't directly concern you.",Sagittarius,Helpful,Orchid,6,2pm,pisces
Mar 21 - Apr 20,"July 18, 2022",Here's another day of you feeling perfect. What should you do with it? Start by telling someone just how much you care -- and finish up by telling someone else just how tired you are of their nonsense.,Pisces,Confidence,Pink,92,11pm,aries
Jul 23 - Aug 22,"July 18, 2022","Extravagant? Excessive? Lavish? Oh, yes. If there's a way to overdo it, you'll find it. Fortunately, your companion won't mind a bit. This might even become legendary.",Capricorn,Dreamy,Sky Blue,51,4pm,leo
Nov 23 - Dec 21,"July 18, 2022","All your personal relationships will take on a much deeper, more emotional tone. That goes double for the ones you're already feeling quite entangled with. Of course, some entanglements are delightful.",Scorpio,Sweet,Rose Pink,70,8pm,sagittarius
Apr 21 - May 20,"July 18, 2022","Once again, a certain someone seems out to deliberately aggravate you. You're trying to be patient, but it's not easy and they're not making it any easier. Keep calm for as long as you can.",Capricorn,Patient,Yellow,47,8am,taurus
Aug 23 - Sep 22,"July 18, 2022","Tall, dark and gorgeous may not walk directly into your life -- but they're definitely due to stroll by. Be sure you've got your number handy, and don't hesitate to pass it on.",Cancer,Lucky,Purple,61,7am,virgo
Dec 22 - Jan 19,"July 18, 2022","You've been feeling especially excessive lately, and there's really no reason for you to stop just yet -- unless you've decided that you'd prefer to have the things that money can't buy. Like not having to worry about next month's bills.",Gemini,Relaxed,Sky Blue,57,7am,capricorn
May 21 - Jun 21,"July 18, 2022","You're still in the mood for nothing but love, romance and more of the same. Fortunately, you know just who to call and invite over for a nice, quiet dinner at your place. Start dialing -- and do it early.",Leo,Charming,Yellow,73,3pm,gemini
Sep 23 - Oct 22,"July 18, 2022","Extravagant? You? Absolutely. Especially now. Nothing but the very best will do, and lots of it. That goes double if you're looking to impress your sweetie -- which, of course, is something you've always been pretty darned good at.",Aquarius,Cautious,Gold,48,3am,libra
Jan 20 - Feb 18,"July 18, 2022","Someone seems to be deliberately pushing your buttons, and they're pretty good at it. Still, you should force yourself not to overreact -- especially since that's most likely what they want you to do.",Sagittarius,Calm,Pink,77,11am,aquarius
Jun 22 - Jul 22,"July 18, 2022","Here it comes: the high-speed chase the universe has arranged for your amusement. You'll love every second, especially if you're dragging a family member out to have some fun. Force them to enjoy themselves. It's your duty.",Taurus,Fun,Spring Green,57,5am,cancer
Oct 23 - Nov 22,"July 18, 2022","Excessive? You? Not usually, but now -- absolutely! For some reason, you don't want just one of anything, and you don't want anything small. Careful. Wouldn't want to go in with a headache tomorrow, would you?",Gemini,Demanding,Navy Blue,3,8am,scorpio
Feb 19 - Mar 20,"July 18, 2022","You're feeling generous, but that doesn't mean you'll take any guff from anyone, especially not today. Breathe, now. Don't take it out on any innocent bystanders.",Aquarius,Generous,Silver,38,8pm,pisces
Mar 21 - Apr 20,"July 19, 2022","A surprising conversation will put you in touch with someone exotic, interesting and entirely different from anyone you've ever known -- just your style. Bet you won't be dining alone tonight.",Aquarius,Surprised,Orange,61,2pm,aries
Jul 23 - Aug 22,"July 19, 2022","Speaking of excess, let's not even try to pretend that it's over. You're still in the mood to spend and spend big, especially when it comes to communication devices. Time for a new computer, maybe?",Pisces,Social,Shadow Black,86,12am,leo
Nov 23 - Dec 21,"July 19, 2022","Your buttons have just been pushed for the very last time. You've had it with the attitude, you've had it with feeling manipulated and you're outta there. Just be sure before you announce it. Crow isn't tasty stuff.",Virgo,Cautious,Rose Pink,6,2am,sagittarius
Apr 21 - May 20,"July 19, 2022","That shift in the atmosphere around you isn't your imagination. There's a certain something out there that's changed, and it's for the better. You may not be especially fond of change in general, but this time you'll love it.",Aries,Curious,Orange,18,3pm,taurus
Aug 23 - Sep 22,"July 19, 2022","So what if it's a school night? The universe has once again put romance on the agenda -- and excess, too. That translates into lots of love. Makes you tingle just thinking about it, doesn't it?",Aries,Stressed,Purple,20,10pm,virgo
Dec 22 - Jan 19,"July 19, 2022","Still mad about yesterday? It might be time to let it go, if for no other reason than to relieve yourself of this unnecessary burden. You don't need this, and you know it. Wiggle out of it.",Aquarius,Relieved,Blue,89,11pm,capricorn
May 21 - Jun 21,"July 19, 2022","There's something major going on behind the scenes. You're sure of it. Even if you can't put your finger on it yet, you can smell it in the air. Don't take action until you're sure.",Cancer,Cautious,Gold,95,6pm,gemini
Sep 23 - Oct 22,"July 19, 2022","Letting your guard down has never come easily to you, but with someone you know and trust, you're more than open. Be careful to choose the right confidante. That goes double for now.",Taurus,Cautious,Sky Blue,86,9pm,libra
Jan 20 - Feb 18,"July 19, 2022","No matter what your plans were, expect them to change suddenly. Fortunately, that's what you love. If your companion doesn't feel the same, use your natural charm to convince them that spontaneity is always best -- because it really is!",Cancer,Confidence,Brown,43,6pm,aquarius
Jun 22 - Jul 22,"July 19, 2022",Ordinarily frugal you will suddenly have the urge to do some big-time spending. Take the plastic and the checkbook out of retirement. Just don't forget to bring along your knack for comparison shopping.,Aquarius,Smart,Rose Pink,27,6am,cancer
Oct 23 - Nov 22,"July 19, 2022","If you suddenly feel the urge to let a dear one know just how much you care, don't be shy. You should gush over your loved ones every now and then. Think of this as your official turn.",Virgo,Serious,Yellow,91,10am,scorpio
Feb 19 - Mar 20,"July 19, 2022",Whatever you're thinking will pop immediately from your mouth to your lips. You'll know it's happened by the expressions on the faces of those around you. Give them a break. They've never seen you quite this way.,Scorpio,Quiet,Orange,45,8pm,pisces
Mar 21 - Apr 20,"July 20, 2022","Excess is first and foremost on your mind, and what you specializes in. Order the most expensive, calorie-laden dessert on the menu. And don't feel guilty about it, either.",Scorpio,Playful,Pink,3,4pm,aries
Jul 23 - Aug 22,"July 20, 2022","You might want to consider taking back the checkbook, or at least getting separate accounts. One way or another, handling your own finances would definitely be better at the moment, and in the future, too.",Gemini,Conservative,Navy Blue,45,5am,leo
Nov 23 - Dec 21,"July 20, 2022","Don't think of it as leaving a job. Think of it as taking one giant step toward what you really want to do. It might be tough to even consider moving on, but remember: the only real constant is stagnation.",Gemini,Brave,Spring Green,35,4pm,sagittarius
Apr 21 - May 20,"July 20, 2022","A family member or old, dear friend is finally ready to showcase their talents, and you're behind them one hundred percent. Want to help them take their show on the road? Then start with one of your world-famous pep talks.",Sagittarius,Charming,Navy Blue,89,8pm,taurus
Aug 23 - Sep 22,"July 20, 2022","You'll be the star of the show, no matter where you end up. Unfortunately, you may not be in the mood for attention. Oh, well. Do what you've got to do, then find a nice, quiet place to hibernate.",Scorpio,Accomplished,Gold,3,7pm,virgo
Dec 22 - Jan 19,"July 20, 2022","Nothing but the best will do for the one you love. Still, that doesn't mean you should get crazy with your plastic. Your company is the finest gift of all.",Aries,Generous,Gold,79,10pm,capricorn
May 21 - Jun 21,"July 20, 2022","You're definitely feeling more effusive than usual. Your emotions are running on high, and you've noticed that your dear ones are also a bit testier than usual. Stick to non-contentious topics.",Libra,Cautious,Teal,27,1am,gemini
Sep 23 - Oct 22,"July 20, 2022","Take it one step at a time, even if you're sure you've stumbled across the love of your life, and if you don't act fast, they might disappear. If they're who you think they are, they won't be going anywhere.",Taurus,Patient,Peach,44,8pm,libra
Jan 20 - Feb 18,"July 20, 2022","The Moon is feeling sassy right now, and it's going to make you a very, very popular item. Be prepared for anything and everything -- which, fortunately, is just the way you like things to go.",Taurus,Lucky,Sky Blue,96,1am,aquarius
Jun 22 - Jul 22,"July 20, 2022","You're in the mood to show off what you've got financially, emotionally and relationship-wise. You've got plenty to show off at the moment, so why not do a bit of celebrating?",Pisces,Charming,Blue,21,10am,cancer
Oct 23 - Nov 22,"July 20, 2022","Remember how excessive you were feeling yesterday? If you acted on it, that just might make you feel guilty today. But don't bother. Guilt is useless -- and it takes all the fun out of being bad.",Leo,Innocent,Purple,98,9pm,scorpio
Feb 19 - Mar 20,"July 20, 2022","It's all there for everyone to see, and you're glad it's out in the open now. But are they? Well, it depends. If you end up on their team, they'll be tickled. If not, you'll have some 'splaining to do ....",Sagittarius,Fun,Gold,75,3pm,pisces
Mar 21 - Apr 20,"July 21, 2022","Ready for yet another encounter with someone who has an interesting accent? Of course you are. The good news is that you'll have just that opportunity, and that you'll be just as fascinating to them as they are to you.",Sagittarius,Charming,Blue,18,1pm,aries
Jul 23 - Aug 22,"July 21, 2022",The wit you're already famous for will be running on high for at least the next couple of days. Does that mean your already remarkable charm will be more even more lethal? Sure does. Aim this stuff carefully.,Aries,Charming,Spring Green,23,3pm,leo
Nov 23 - Dec 21,"July 21, 2022","Are you ready for all this attention? Because you'd better be. If you don't have a press secretary, publicist and personal agent, you might want to get right on that. You'll need the entire team soon.",Virgo,Leading,Silver,70,7pm,sagittarius
Apr 21 - May 20,"July 21, 2022","Here's another day that's tailor-made for you to show off, whether you're trying or not. Those who'll show their appreciation the most will be family and friends -- some of whom may surprise you.",Sagittarius,Attractive,Yellow,32,8pm,taurus
Aug 23 - Sep 22,"July 21, 2022","You've got a lot on your mind, and you want to talk about it. Problem is, you're not sure who you can trust. Go with the person you've known the longest, or the one who's already confided in you.",Scorpio,Truthful,Orange,67,11pm,virgo
Dec 22 - Jan 19,"July 21, 2022","The Moon is doing a lot more than lighting up the sky. It's inspiring you to either finish a project or tend to a health issue. If you're not sure of how to do either, consult with someone who does.",Cancer,Humble,Navy Blue,86,7pm,capricorn
May 21 - Jun 21,"July 21, 2022","Ssshh. Someone has a secret to share, and it's a big one. If it's you, be sure not to give in to the temptation to tell anyone just to get it off your chest.",Virgo,Honest,Sky Blue,60,4am,gemini
Sep 23 - Oct 22,"July 21, 2022","There's someone special in your life, and they're about to let you know that they feel the same way about you. Don't expect to be in bed early. You've got a lot of catching up to do.",Capricorn,Sweet,Sky Blue,8,4pm,libra
Jan 20 - Feb 18,"July 21, 2022","You're in the mood to show off, and after the major stunts you've pulled off recently, you're definitely due. Don't be shy. Strut your stuff. It's your turn to shine.",Pisces,Leading,Sky Blue,11,2pm,aquarius
Jun 22 - Jul 22,"July 21, 2022","Forget being cool and calculated. You're running on high emotionally, and that's not even mentioning your energy level. Better cancel any plans for this evening that involve a guest list of more than one.",Scorpio,Peaceful,Orchid,59,9am,cancer
Oct 23 - Nov 22,"July 21, 2022","You might be tempted to grab every piece of plastic you own, shove in into your wallet and take off for a busy day at the mall. If that doesn't happen, consider yourself a newly anointed saint.",Leo,Generous,Shadow Black,13,3am,scorpio
Feb 19 - Mar 20,"July 21, 2022","You're ready to let the world know how you're feeling, no matter who's there or what their particular opinion might be. Great. Don't let that change, no matter who shows up -- or what they're wearing.",Leo,Leading,Orange,45,1am,pisces
Mar 21 - Apr 20,"July 22, 2022",You're wondering what it might be like to be truly intimate with another person. Not that it's never happened -- but it's certainly never happened the way you wanted it to. Give it a try. You know who to call.,Scorpio,Brave,Blue,71,2pm,aries
Jul 23 - Aug 22,"July 22, 2022","It's time to wind down and welcome a fresh start. Winter is almost half-gone -- and not a second too soon. You're also ready to start on an entirely personal project -- and again, it's not a second too soon.",Virgo,Aggressive,Spring Green,47,5am,leo
Nov 23 - Dec 21,"July 22, 2022","Good news at work is just the beginning. There's a wonderful week ahead in all categories. Ready or not, here comes the good stuff you've been waiting for.",Aries,Lucky,Rose Pink,38,10am,sagittarius
Apr 21 - May 20,"July 22, 2022","A family member has wonderful news to announce, and it's going to happen soon. Even if you have an inkling as to what it might be, don't spoil the surprise.",Gemini,Surprised,Rose Pink,3,6am,taurus
Aug 23 - Sep 22,"July 22, 2022","You're overdue for a break in the action, especially after such a busy couple of days. Go ahead and take it. Got sick days? Great. If not, better plan on a nap after dinner or an early evening.",Scorpio,Relieved,Pink,50,10pm,virgo
Dec 22 - Jan 19,"July 22, 2022","For the next few weeks, you'll be ready, willing and able to connect with anyone who's 'different' -- which might only mean that they're not from your neighborhood. The more unusual their views are, though, the better.",Scorpio,Curious,Purple,41,6am,capricorn
May 21 - Jun 21,"July 22, 2022","You're in for a bit more excitement of the entirely surprising variety. Unexpected news is on the agenda for at least the next three weeks. You may need to keep it a secret, but for a delightful reason.",Libra,Quiet,Sky Blue,48,10am,gemini
Sep 23 - Oct 22,"July 22, 2022","A little while ago, you had a feeling something was brewing. When you walk in this morning, you'll discover you were right. The good news is that it's what you've been waiting for. Enjoy!",Scorpio,Surprised,Pink,21,1pm,libra
Jan 20 - Feb 18,"July 22, 2022","It might start out as a nice, quiet day, but by tonight, surprising news will undoubtedly arrive. Don't you dare ignore the phone, and don't forget your email. You'll want to hear all about this.",Leo,Curious,Gold,45,1pm,aquarius
Jun 22 - Jul 22,"July 22, 2022","It's that time again. Yup, the bills are due. Not to worry. You'll find a way to get each and every one of them tucked safely inside their pre-addressed and stamped envelopes.",Taurus,Patient,Copper,38,2pm,cancer
Oct 23 - Nov 22,"July 22, 2022","If you've been feeling forced or manipulated into doing something you're not happy about recently, that's going to stop -- and soon, too. You've been preparing for battle. This could be it.",Taurus,Aggressive,Copper,79,4am,scorpio
Feb 19 - Mar 20,"July 22, 2022",Someone with a wonderful accent is due to come along and quite literally sweep you off your feet. Don't be worried if it doesn't happen today. You've got three weeks of romance to look forward to.,Libra,Hopeful,Teal,84,12am,pisces
Mar 21 - Apr 20,"July 23, 2022","If you've been going through some tough times with a dear one, don't push it too hard. You can talk without turning it into an interrogation. Go easy. Don't let your mouth get away from you.",Leo,Patient,Gold,17,5pm,aries
Jul 23 - Aug 22,"July 23, 2022","Family members will be less than cooperative, so even if you do manage to get them to back away from their ultimatums for a few minutes, don't expect miracles. You can only do so much.",Aquarius,Busy,Navy Blue,96,11am,leo
Nov 23 - Dec 21,"July 23, 2022","Working overtime again? If you weren't asked to and it's not absolutely necessary, why not call it a day early -- which for you means leaving on time. Give yourself a break. You're due.",Cancer,Relaxed,Red,37,7am,sagittarius
Apr 21 - May 20,"July 23, 2022","Someone perfect could be along shortly. Ignore the age difference or anything else that seems to separate you. Focus on what you have in common. That goes double for current partners, whom you'll be especially close to now.",Cancer,Cherishing,Spring Green,59,8pm,taurus
Aug 23 - Sep 22,"July 23, 2022","Today may not turn out the way you'd planned it, but if you can let go and let the universe drive, you might be pleasantly surprised at how it all turns out. Have a little faith.",Pisces,Uncomfortable,Yellow,9,2am,virgo
Dec 22 - Jan 19,"July 23, 2022","When you walk into work, you won't expect what's probably about to happen: You'll be pushed into the spotlight, like it or not. The good news is that you're well-suited to it, and that you'll wear it well.",Pisces,Charming,Spring Green,61,4pm,capricorn
May 21 - Jun 21,"July 23, 2022","Better warn your dear ones to tread lightly. You're tired, cranky and not in the mood for any guff from anyone. If you find yourself being a bit too picky, put some space between you and your opponent.",Leo,Generous,Gold,29,9am,gemini
Sep 23 - Oct 22,"July 23, 2022","Don't allow yourself to go strolling around the mall alone, or even downtown if there are any interesting boutiques in the vicinity. You won't be the very soul of caution in the department of finances. Think of that budget.",Scorpio,Unsatisfied,Pink,77,6am,libra
Jan 20 - Feb 18,"July 23, 2022","You have a great working relationship with coworkers and higher-ups alike. That's going to come in handy soon, thanks to a big change that's about arrive.",Gemini,Lucky,Shadow Black,88,9pm,aquarius
Jun 22 - Jul 22,"July 23, 2022",Feeling serious? In the mood to take some classes to add to your resume? Why not check it out now? Improving yourself on paper will also improve your income.,Scorpio,Aggressive,Silver,29,1am,cancer
Oct 23 - Nov 22,"July 23, 2022","You've fought off temptation for days, and done a fine job of it, especially under these circumstances. Now, if you can just talk your shopping partners into forgiving themselves -- well, then you can keep an eye out for your halo.",Sagittarius,Innocent,Copper,28,9pm,scorpio
Feb 19 - Mar 20,"July 23, 2022","After weeks of frenzied shopping, you're suddenly feeling the urge to be frugal. Really frugal. After your shopping buddies get over the shock, they'll laugh. Convince them that you're serious.",Cancer,Pleasant,Silver,35,1pm,pisces
Mar 21 - Apr 20,"July 24, 2022","You're still trying to make nice-nice between family members who haven't spoken in ... oh, who knows how long? And why? You've put your all into it. Isn't it time for them to start trying, too? Let yourself off the hook.",Pisces,Relieved,Teal,63,4am,aries
Jul 23 - Aug 22,"July 24, 2022","Don't blame the family member who's trying too hard to get on your good side. They know what they might be losing, and they don't want that to happen. At least understand that they care.",Aquarius,Generous,Teal,84,6pm,leo
Nov 23 - Dec 21,"July 24, 2022","Someone who's in the regular crew you associate with is considering what it would take for you to step up and take charge -- basically, to assume control of the steering wheel. Don't be modest. Agree. But ask for a contract.",Leo,Leading,Silver,38,1pm,sagittarius
Apr 21 - May 20,"July 24, 2022","You're sure that keeping quiet for one second longer will drive you nuts, but give it a shot. Some secrets aren't meant to be shared, not with anyone. This just might be one of them.",Scorpio,Calm,Brown,86,2pm,taurus
Aug 23 - Sep 22,"July 24, 2022","After days of 'being nice,' you've had it. It's time to return to your usual style: blunt and honest. You may want to keep a secret under wraps for a few days longer, though. Think of it as mercy.",Libra,Thoughtful,Orchid,5,8am,virgo
Dec 22 - Jan 19,"July 24, 2022","What a great way to start the day -- with a nice, strong dose of romance. Whether you're single or attached, you're going to feel like a teenager. And you just wait -- there's even more in store!",Taurus,Energetic,Orange,42,10am,capricorn
May 21 - Jun 21,"July 24, 2022","How can it feel like a holiday on a workday? It's not surprising, since your coworkers are also your friends. Have some fun. You can work extra hard later on in the week.",Taurus,Fun,Gold,99,4am,gemini
Sep 23 - Oct 22,"July 24, 2022","You're about to meet someone you'll find extremely interesting. The reason you'll find them interesting, however, is because they're just a bit 'dangerous.' Be sure it's only just a bit.",Gemini,Cautious,Spring Green,17,11am,libra
Jan 20 - Feb 18,"July 24, 2022","You've got energy to burn, and it's a good thing. The universe has arranged an extremely busy day for you -- you might even call it frenetic. Just stay calm, and keep the coffee intake to a minimum.",Libra,Calm,Sky Blue,98,8pm,aquarius
Jun 22 - Jul 22,"July 24, 2022","It's time to get out there and see if you can find someone who's not afraid to return a long, lingering stare without blinking. Even if they give in before you do -- well, isn't that even more appealing?",Sagittarius,Sweet,Orange,24,9pm,cancer
Oct 23 - Nov 22,"July 24, 2022","Be careful what you say now, because even if you don't intend it to be so, each and every syllable you utter could hurt someone. If you're angry, your best bet might be to just keep quiet.",Sagittarius,Quiet,Silver,7,1pm,scorpio
Feb 19 - Mar 20,"July 24, 2022","Hopefully, you weren't planning on getting any rest tonight, because that's just not going to happen. You may be able to relax, but don't count on getting to sleep early.",Libra,Busy,Navy Blue,92,1am,pisces
Mar 21 - Apr 20,"July 25, 2022","You woke up in the mood for intimacy, and that romantic feeling just won't let you be. Does this mean you'll be late for dinner? Maybe -- unless you've whittled the guest list down substantially, and it's set for your place.",Gemini,Sweet,Pink,68,6am,aries
Jul 23 - Aug 22,"July 25, 2022","Talk about a fun, exciting time! The universe has finally heard your silent plea for new and interesting company -- and better still, it's arranged to make that wish come true.",Capricorn,Lucky,Brown,87,12am,leo
Nov 23 - Dec 21,"July 25, 2022","Forget the antiques, the standard-issue china patterns and the 'current' fashions. Right now, you'll be shopping for anything that's totally unlike what anyone else has -- and loving the raised eyebrows you'll inspire.",Scorpio,Charming,Gold,77,6am,sagittarius
Apr 21 - May 20,"July 25, 2022","You may not realize it when you open your eyes this morning, but you're a loaded cannon on the deck -- and heaven help anyone who decides it might be fun to test you.",Scorpio,Cautious,Copper,10,9am,taurus
Aug 23 - Sep 22,"July 25, 2022","Your usual style of conversation is far from bland, but for the next few days, it's going to be even spicier. No one will mind, though -- especially if you deliver every word with that intoxicating humor that's uniquely your own.",Leo,Attractive,Copper,97,3am,virgo
Dec 22 - Jan 19,"July 25, 2022","There's no use telling the powers that be that you have a stomachache. They may let you leave early, but they won't be happy about it, and they may hold it against you later. Be brave. Handle it.",Gemini,Brave,Orange,57,6pm,capricorn
May 21 - Jun 21,"July 25, 2022","A very sexy visitor will cross your path soon. If not today, then within a few days. Once they arrive, lots of things will change. Your organized schedule, for one. Not that you'll mind, of course!",Scorpio,Happy,Peach,8,11am,gemini
Sep 23 - Oct 22,"July 25, 2022","A startling new higher-up whose methods of management are anything but run-of-the-mill will be along shortly. As fond as you are of convention, you may bump heads with them initially, but don't worry: Your hard work will still be appreciated.",Scorpio,Productive,Teal,32,1am,libra
Jan 20 - Feb 18,"July 25, 2022","You've never been stingy -- in fact, the opposite is more like it. But whatever means something to you will mean even more now, and you'll want to preserve it. Basically, if it's yours, you're keeping it.",Cancer,Cherishing,Shadow Black,91,6pm,aquarius
Jun 22 - Jul 22,"July 25, 2022","You'll be quite busy with group ventures, and loving every minute of it. Speaking of love, someone who's a member of one of these groups -- someone exotic, exciting and entirely different -- could catch your attention. Oh, and actually hold it.",Taurus,Crazy,Teal,97,3pm,cancer
Oct 23 - Nov 22,"July 25, 2022","A new coworker or someone different you meet in the course of your daily routine is due to make quite the impression on you. A long-term impression, too. Stay on your toes.",Capricorn,Charming,Shadow Black,83,2pm,scorpio
Feb 19 - Mar 20,"July 25, 2022","The authority figure you were sure was working against you? Who seemed to have an awful lot of secrets up their sleeve? You're about to see exactly what they were hiding. Bet you won't be mad. Surprised, maybe, but not mad.",Leo,Surprised,Rose Pink,88,5pm,pisces
Mar 21 - Apr 20,"July 26, 2022","You're about to take one giant step toward intimacy, and you won't be shy about it, either. Whether that intimacy is physical, intellectual or emotional won't matter. It will feel wonderful to connect on such a deep level.",Taurus,Brave,Peach,49,8pm,aries
Jul 23 - Aug 22,"July 26, 2022",Not only is that exotic new friend equally interested in you -- they're also equally interested in trying that new and different activity you've been mulling over lately. Talk about a buffet! Say thank you to the heavens.,Pisces,Friendly,Shadow Black,43,2pm,leo
Nov 23 - Dec 21,"July 26, 2022","Step away from the catalogues, and keep your hands in full sight of your chaperone -- and if you don't have a chaperone, get one. You'll need them to keep you from spending every dime you have on 'absolutely necessary' things.",Scorpio,Conservative,Pink,33,2pm,sagittarius
Apr 21 - May 20,"July 26, 2022","A family member is about to say or do something that will send you for a loop. You won't mind that they're acting so oddly, but you may be upset if their behavior affects your own life.",Scorpio,Upset,Brown,52,11am,taurus
Aug 23 - Sep 22,"July 26, 2022","You could quite easily write poetry now -- or recite some to someone special. If you've written it, so much the better. If you haven't, put a special, romantic tone in your voice when you read it.",Cancer,Sweet,Spring Green,38,9am,virgo
